IP1,IP2,RTT(ms),Mediciones,(x_i-media(X))/S 
192.168.0.109,192.168.0.1,9.02,35,-0.28 
200.89.165.86,200.89.165.149,4.90,900,-0.35 
200.89.165.149,200.89.165.5,-8.37,900,-0.60 
200.89.165.5,200.89.165.250,3.76,900,-0.37 
200.89.165.250,190.216.88.33,-5.45,390,-0.54 
190.216.88.33,67.17.94.249,200.50,390,3.26 
4.69.207.29,4.68.127.54,41.59,450,0.33 
4.68.127.54,129.250.2.202,15.02,900,-0.16 
129.250.2.202,129.250.4.20,-16.23,900,-0.74 
129.250.4.20,129.250.2.219,2.60,900,-0.39 
129.250.2.219,129.250.7.69,8.06,900,-0.29 
129.250.7.69,129.250.3.17,4.70,900,-0.36 
129.250.3.17,129.250.3.234,-0.94,900,-0.46 
129.250.3.234,204.1.253.166,-1.65,900,-0.47 
204.1.253.166,202.158.194.172,135.70,900,2.06 
202.158.194.172,113.197.15.68,8.81,900,-0.28 
113.197.15.68,113.197.15.66,49.94,900,0.48 
113.197.15.66,113.197.15.152,0.47,900,-0.43 
113.197.15.152,138.44.5.47,2.31,900,-0.40 
